energy, R80,A,B,C
197.6,256.13,1.236E-06,-2.600E-03,5.211E+00

depth,sigma,idd
0.00,-1.55,64.13
1.00,-1.55,64.97
2.00,-1.55,65.53
3.00,-1.54,65.96
4.00,-1.54,66.30
5.00,-1.54,66.57
6.00,-1.53,66.85
7.00,-1.53,67.08
8.00,-1.53,67.32
9.00,-1.52,67.52
10.00,-1.52,67.76
11.00,-1.52,67.97
12.00,-1.52,68.17
13.00,-1.51,68.34
14.00,-1.51,68.50
15.00,-1.51,68.70
16.00,-1.51,68.88
17.00,-1.50,69.08
18.00,-1.50,69.27
19.00,-1.50,69.49
20.00,-1.50,69.69
21.00,-1.50,69.70
22.00,-1.49,69.89
23.00,-1.49,70.03
24.00,-1.49,70.18
25.00,-1.49,70.32
26.00,-1.48,70.52
27.00,-1.48,70.68
28.00,-1.48,70.85
29.00,-1.48,71.03
30.00,-1.47,71.17
31.00,-1.47,71.34
32.00,-1.47,71.49
33.00,-1.47,71.69
34.00,-1.46,71.83
35.00,-1.46,71.91
36.00,-1.46,72.06
37.00,-1.46,72.19
38.00,-1.45,72.35
39.00,-1.45,72.46
40.00,-1.45,72.59
41.00,-1.44,72.75
42.00,-1.44,72.95
43.00,-1.44,72.99
44.00,-1.43,73.13
45.00,-1.43,73.29
46.00,-1.43,73.37
47.00,-1.42,73.51
48.00,-1.42,73.61
49.00,-1.42,73.76
50.00,-1.41,73.91
51.00,-1.41,74.00
52.00,-1.41,74.10
53.00,-1.40,74.25
54.00,-1.40,74.37
55.00,-1.40,74.46
56.00,-1.39,74.59
57.00,-1.39,74.72
58.00,-1.38,74.85
59.00,-1.38,74.97
60.00,-1.38,75.10
61.00,-1.37,75.20
62.00,-1.37,75.35
63.00,-1.36,75.48
64.00,-1.36,75.61
65.00,-1.35,75.68
66.00,-1.35,75.80
67.00,-1.34,75.95
68.00,-1.34,76.06
69.00,-1.33,76.17
70.00,-1.33,76.31
71.00,-1.32,76.39
72.00,-1.32,76.50
73.00,-1.31,76.60
74.00,-1.31,76.74
75.00,-1.30,76.86
76.00,-1.30,76.97
77.00,-1.29,77.12
78.00,-1.29,77.21
79.00,-1.28,77.36
80.00,-1.27,77.41
81.00,-1.27,77.55
82.00,-1.26,77.69
83.00,-1.25,77.82
84.00,-1.25,77.92
85.00,-1.24,78.04
86.00,-1.23,78.16
87.00,-1.23,78.28
88.00,-1.22,78.42
89.00,-1.21,78.57
90.00,-1.21,78.66
91.00,-1.20,78.79
92.00,-1.19,78.91
93.00,-1.18,79.01
94.00,-1.18,79.11
95.00,-1.17,79.27
96.00,-1.16,79.37
97.00,-1.15,79.42
98.00,-1.14,79.54
99.00,-1.14,79.69
100.00,-1.13,79.80
101.00,-1.12,79.93
102.00,-1.11,80.10
103.00,-1.10,80.22
104.00,-1.10,80.38
105.00,-1.09,80.50
106.00,-1.08,80.60
107.00,-1.07,80.75
108.00,-1.06,80.89
109.00,-1.05,80.98
110.00,-1.04,81.13
111.00,-1.03,81.29
112.00,-1.02,81.44
113.00,-1.01,81.58
114.00,-1.00,81.74
115.00,-0.99,81.86
116.00,-0.98,81.98
117.00,-0.97,82.11
118.00,-0.96,82.27
119.00,-0.95,82.39
120.00,-0.94,82.48
121.00,-0.93,82.61
122.00,-0.91,82.77
123.00,-0.90,82.91
124.00,-0.89,83.05
125.00,-0.88,83.18
126.00,-0.87,83.32
127.00,-0.85,83.46
128.00,-0.84,83.59
129.00,-0.83,83.76
130.00,-0.82,83.93
131.00,-0.81,84.07
132.00,-0.79,84.20
133.00,-0.78,84.33
134.00,-0.77,84.46
135.00,-0.75,84.60
136.00,-0.74,84.79
137.00,-0.73,84.94
138.00,-0.71,85.09
139.00,-0.70,85.24
140.00,-0.69,85.39
141.00,-0.67,85.55
142.00,-0.66,85.74
143.00,-0.64,85.91
144.00,-0.63,86.09
145.00,-0.61,86.25
146.00,-0.60,86.41
147.00,-0.58,86.63
148.00,-0.57,86.80
149.00,-0.55,87.02
150.00,-0.53,87.20
151.00,-0.52,87.37
152.00,-0.50,87.55
153.00,-0.49,87.74
154.00,-0.47,87.91
155.00,-0.45,88.11
156.00,-0.44,88.36
157.00,-0.42,88.57
158.00,-0.40,88.78
159.00,-0.39,88.97
160.00,-0.37,89.18
161.00,-0.35,89.43
162.00,-0.34,89.66
163.00,-0.32,89.89
164.00,-0.30,90.12
165.00,-0.28,90.38
166.00,-0.26,90.61
167.00,-0.24,90.86
168.00,-0.22,91.10
169.00,-0.21,91.36
170.00,-0.19,91.62
171.00,-0.17,91.87
172.00,-0.15,92.12
173.00,-0.13,92.42
174.00,-0.11,92.70
175.00,-0.09,92.99
176.00,-0.07,93.29
177.00,-0.05,93.60
178.00,-0.03,93.91
179.00,-0.01,94.24
180.00,0.01,94.55
181.00,0.04,94.87
182.00,0.06,95.18
