mlc_pair_index,width,center_offset
0,10.0,-195.0
1,10.0,-185.0
2,10.0,-175.0
3,10.0,-165.0
4,10.0,-155.0
5,10.0,-145.0
6,10.0,-135.0
7,10.0,-125.0
8,10.0,-115.0
9,10.0,-105.0
10,5.0,-97.5
11,5.0,-92.5
12,5.0,-87.5
13,5.0,-82.5
14,5.0,-77.5
15,5.0,-72.5
16,5.0,-67.5
17,5.0,-62.5
18,5.0,-57.5
19,5.0,-52.5
20,5.0,-47.5
21,5.0,-42.5
22,5.0,-37.5
23,5.0,-32.5
24,5.0,-27.5
25,5.0,-22.5
26,5.0,-17.5
27,5.0,-12.5
28,5.0,-7.5
29,5.0,-2.5
30,5.0,2.5
31,5.0,7.5
32,5.0,12.5
33,5.0,17.5
34,5.0,22.5
35,5.0,27.5
36,5.0,32.5
37,5.0,37.5
38,5.0,42.5
39,5.0,47.5
40,5.0,52.5
41,5.0,57.5
42,5.0,62.5
43,5.0,67.5
44,5.0,72.5
45,5.0,77.5
46,5.0,82.5
47,5.0,87.5
48,5.0,92.5
49,5.0,97.5
50,10.0,105.0
51,10.0,115.0
52,10.0,125.0
53,10.0,135.0
54,10.0,145.0
55,10.0,155.0
56,10.0,165.0
57,10.0,175.0
58,10.0,185.0
59,10.0,195.0
