energy, R80,A,B,C
121.5,108.50,1.011E-06,7.431E-04,2.253E-01

depth,sigma,idd
0.00,-0.62,64.23
1.00,-0.62,64.88
2.00,-0.61,65.44
3.00,-0.61,65.90
4.00,-0.60,66.31
5.00,-0.59,66.71
6.00,-0.59,67.12
7.00,-0.58,67.49
8.00,-0.58,67.82
9.00,-0.57,68.14
10.00,-0.56,68.50
11.00,-0.56,68.88
12.00,-0.55,69.24
13.00,-0.55,69.59
14.00,-0.54,69.95
15.00,-0.54,70.28
16.00,-0.53,70.64
17.00,-0.53,71.00
18.00,-0.52,71.29
19.00,-0.51,71.69
20.00,-0.51,72.03
21.00,-0.50,72.38
22.00,-0.50,72.73
23.00,-0.49,73.13
24.00,-0.49,73.51
25.00,-0.48,73.84
26.00,-0.47,74.24
27.00,-0.47,74.63
28.00,-0.46,75.01
29.00,-0.46,75.36
30.00,-0.45,75.75
31.00,-0.44,76.15
32.00,-0.44,76.50
33.00,-0.43,76.91
34.00,-0.42,77.30
35.00,-0.42,77.73
36.00,-0.41,78.10
37.00,-0.40,78.53
38.00,-0.40,78.93
39.00,-0.39,79.38
40.00,-0.38,79.77
41.00,-0.37,80.12
42.00,-0.37,80.58
43.00,-0.36,81.04
44.00,-0.35,81.48
45.00,-0.34,81.92
46.00,-0.33,82.37
47.00,-0.32,82.82
48.00,-0.32,83.30
49.00,-0.31,83.74
50.00,-0.30,84.21
51.00,-0.29,84.69
52.00,-0.28,85.16
53.00,-0.27,85.71
54.00,-0.26,86.30
55.00,-0.25,86.90
56.00,-0.24,87.46
57.00,-0.23,88.03
58.00,-0.22,88.57
59.00,-0.21,89.18
60.00,-0.20,89.83
61.00,-0.19,90.52
62.00,-0.18,91.18
63.00,-0.17,91.86
64.00,-0.16,92.51
65.00,-0.15,93.27
66.00,-0.13,94.07
67.00,-0.12,94.85
68.00,-0.11,95.61
69.00,-0.10,96.43
70.00,-0.08,97.35
71.00,-0.07,98.32
72.00,-0.06,99.26
73.00,-0.04,100.20
74.00,-0.03,101.19
75.00,-0.01,102.30
76.00,0.00,103.49
77.00,0.01,104.74
78.00,0.03,106.01
79.00,0.05,107.25
80.00,0.06,108.62
81.00,0.08,110.17
82.00,0.10,111.83
83.00,0.11,113.47
84.00,0.13,115.07
85.00,0.15,116.70
86.00,0.16,118.54
87.00,0.18,120.60
88.00,0.20,122.87
89.00,0.22,125.26
90.00,0.24,127.80
91.00,0.26,130.60
92.00,0.28,133.67
93.00,0.30,137.12
94.00,0.33,140.96
95.00,0.35,145.25
96.00,0.37,150.10
97.00,0.40,155.59
98.00,0.42,161.88
99.00,0.45,169.17
100.00,0.47,177.72
101.00,0.50,188.00
102.00,0.53,200.74
103.00,0.56,217.25
104.00,0.59,239.94
105.00,0.62,272.50
106.00,0.62,314.73
107.00,0.60,341.52
108.00,0.57,295.34
109.00,0.53,173.55
110.00,0.50,63.12
111.00,3.00,13.67
112.00,3.00,1.76
113.00,3.00,0.14
114.00,3.00,0.01
115.00,3.00,0.00
116.00,3.00,0.00
117.00,3.00,0.00
118.00,3.00,0.00
119.00,3.00,0.00
120.00,3.00,0.00
121.00,3.00,0.00
122.00,3.00,0.00
123.00,3.00,0.00
124.00,3.00,0.00
125.00,3.00,0.00
126.00,3.00,0.00
127.00,3.00,0.00
128.00,3.00,0.00
129.00,3.00,0.00
130.00,3.00,0.00
131.00,3.00,0.00
132.00,3.00,0.00
133.00,3.00,0.00
134.00,3.00,0.00
135.00,3.00,0.00
136.00,3.00,0.00
137.00,3.00,0.00
138.00,3.00,0.00
139.00,3.00,0.00
140.00,3.00,0.00
141.00,3.00,0.00
142.00,3.00,0.00
143.00,3.00,0.00
144.00,3.00,0.00
145.00,3.00,0.00
146.00,3.00,0.00
147.00,3.00,0.00
148.00,3.00,0.00
149.00,3.00,0.00
150.00,3.00,0.00
151.00,3.00,0.00
152.00,3.00,0.00
153.00,3.00,0.00
154.00,3.00,0.00
155.00,3.00,0.00
156.00,3.00,0.00
157.00,3.00,0.00
158.00,3.00,0.00
159.00,3.00,0.00
160.00,3.00,0.00
161.00,3.00,0.00
162.00,3.00,0.00
163.00,3.00,0.00
164.00,3.00,0.00
165.00,3.00,0.00
166.00,3.00,0.00
167.00,3.00,0.00
168.00,3.00,0.00
169.00,3.00,0.00
170.00,3.00,0.00
171.00,3.00,0.00
172.00,3.00,0.00
173.00,3.00,0.00
174.00,3.00,0.00
175.00,3.00,0.00
176.00,3.00,0.00
177.00,3.00,0.00
178.00,3.00,0.00
179.00,3.00,0.00
180.00,3.00,0.00
181.00,3.00,0.00
182.00,3.00,0.00
183.00,3.00,0.00
184.00,3.00,0.00
185.00,3.00,0.00
186.00,3.00,0.00
187.00,3.00,0.00
188.00,3.00,0.00
189.00,3.00,0.00
190.00,3.00,0.00
191.00,3.00,0.00
192.00,3.00,0.00
193.00,3.00,0.00
194.00,3.00,0.00
195.00,3.00,0.00
196.00,3.00,0.00
197.00,3.00,0.00
198.00,3.00,0.00
199.00,3.00,0.00
200.00,3.00,0.00
201.00,3.00,0.00
202.00,3.00,0.00
203.00,3.00,0.00
204.00,3.00,0.00
205.00,3.00,0.00
206.00,3.00,0.00
207.00,3.00,0.00
208.00,3.00,0.00
209.00,3.00,0.00
210.00,3.00,0.00
211.00,3.00,0.00
212.00,3.00,0.00
213.00,3.00,0.00
214.00,3.00,0.00
215.00,3.00,0.00
216.00,3.00,0.00
217.00,3.00,0.00
218.00,3.00,0.00
219.00,3.00,0.00
220.00,3.00,0.00
221.00,3.00,0.00
222.00,3.00,0.00
223.00,3.00,0.00
224.00,3.00,0.00
225.00,3.00,0.00
226.00,3.00,0.00
227.00,3.00,0.00
228.00,3.00,0.00
229.00,3.00,0.00
230.00,3.00,0.00
231.00,3.00,0.00
232.00,3.00,0.00
233.00,3.00,0.00
234.00,3.00,0.00
235.00,3.00,0.00
236.00,3.00,0.00
237.00,3.00,0.00
238.00,3.00,0.00
239.00,3.00,0.00
240.00,3.00,0.00
241.00,3.00,0.00
242.00,3.00,0.00
243.00,3.00,0.00
244.00,3.00,0.00
245.00,3.00,0.00
246.00,3.00,0.00
247.00,3.00,0.00
248.00,3.00,0.00
249.00,3.00,0.00
250.00,3.00,0.00
251.00,3.00,0.00
252.00,3.00,0.00
253.00,3.00,0.00
254.00,3.00,0.00
255.00,3.00,0.00
256.00,3.00,0.00
257.00,3.00,0.00
258.00,3.00,0.00
259.00,3.00,0.00
260.00,3.00,0.00
261.00,3.00,0.00
262.00,3.00,0.00
263.00,3.00,0.00
264.00,3.00,0.00
265.00,3.00,0.00
266.00,3.00,0.00
267.00,3.00,0.00
268.00,3.00,0.00
269.00,3.00,0.00
270.00,3.00,0.00
271.00,3.00,0.00
272.00,3.00,0.00
273.00,3.00,0.00
274.00,3.00,0.00
275.00,3.00,0.00
276.00,3.00,0.00
277.00,3.00,0.00
278.00,3.00,0.00
279.00,3.00,0.00
280.00,3.00,0.00
281.00,3.00,0.00
282.00,3.00,0.00
283.00,3.00,0.00
284.00,3.00,0.00
285.00,3.00,0.00
286.00,3.00,0.00
287.00,3.00,0.00
288.00,3.00,0.00
289.00,3.00,0.00
290.00,3.00,0.00
291.00,3.00,0.00
292.00,3.00,0.00
293.00,3.00,0.00
294.00,3.00,0.00
295.00,3.00,0.00
296.00,3.00,0.00
297.00,3.00,0.00
298.00,3.00,0.00
299.00,3.00,0.00
300.00,3.00,0.00
301.00,3.00,0.00
302.00,3.00,0.00
303.00,3.00,0.00
304.00,3.00,0.00
305.00,3.00,0.00
306.00,3.00,0.00
307.00,3.00,0.00
308.00,3.00,0.00
309.00,3.00,0.00
310.00,3.00,0.00
311.00,3.00,0.00
312.00,3.00,0.00
313.00,3.00,0.00
314.00,3.00,0.00
315.00,3.00,0.00
316.00,3.00,0.00
317.00,3.00,0.00
318.00,3.00,0.00
319.00,3.00,0.00
320.00,3.00,0.00
321.00,3.00,0.00
322.00,3.00,0.00
323.00,3.00,0.00
324.00,3.00,0.00
325.00,3.00,0.00
326.00,3.00,0.00
327.00,3.00,0.00
328.00,3.00,0.00
329.00,3.00,0.00
330.00,3.00,0.00
331.00,3.00,0.00
332.00,3.00,0.00
333.00,3.00,0.00
334.00,3.00,0.00
335.00,3.00,0.00
336.00,3.00,0.00
337.00,3.00,0.00
338.00,3.00,0.00
339.00,3.00,0.00
340.00,3.00,0.00
341.00,3.00,0.00
342.00,3.00,0.00
343.00,3.00,0.00
344.00,3.00,0.00
345.00,3.00,0.00
346.00,3.00,0.00
347.00,3.00,0.00
348.00,3.00,0.00
349.00,3.00,0.00
350.00,3.00,0.00
351.00,3.00,0.00
352.00,3.00,0.00
353.00,3.00,0.00
354.00,3.00,0.00
355.00,3.00,0.00
356.00,3.00,0.00
357.00,3.00,0.00
358.00,3.00,0.00
359.00,3.00,0.00
360.00,3.00,0.00
361.00,3.00,0.00
362.00,3.00,0.00
363.00,3.00,0.00
364.00,3.00,0.00
365.00,3.00,0.00
366.00,3.00,0.00
367.00,3.00,0.00
368.00,3.00,0.00
369.00,3.00,0.00
370.00,3.00,0.00
371.00,3.00,0.00
372.00,3.00,0.00
373.00,3.00,0.00
374.00,3.00,0.00
375.00,3.00,0.00
376.00,3.00,0.00
377.00,3.00,0.00
378.00,3.00,0.00
379.00,3.00,0.00
380.00,3.00,0.00
381.00,3.00,0.00
382.00,3.00,0.00
383.00,3.00,0.00
384.00,3.00,0.00
385.00,3.00,0.00
386.00,3.00,0.00
387.00,3.00,0.00
388.00,3.00,0.00
389.00,3.00,0.00
390.00,3.00,0.00
391.00,3.00,0.00
392.00,3.00,0.00
393.00,3.00,0.00
394.00,3.00,0.00
395.00,3.00,0.00
396.00,3.00,0.00
397.00,3.00,0.00
398.00,3.00,0.00
399.00,3.00,0.00
400.00,3.00,0.00
