energy, R80,A,B,C
146.1,150.73,8.069E-07,2.006E-04,1.464E+00

depth,sigma,idd
0.00,-0.84,64.15
1.00,-0.84,64.89
2.00,-0.84,65.44
3.00,-0.83,65.86
4.00,-0.83,66.24
5.00,-0.82,66.60
6.00,-0.82,66.94
7.00,-0.81,67.26
8.00,-0.81,67.57
9.00,-0.80,67.88
10.00,-0.80,68.08
11.00,-0.79,68.33
12.00,-0.79,68.51
13.00,-0.79,68.77
14.00,-0.78,69.04
15.00,-0.78,69.28
16.00,-0.77,69.52
17.00,-0.77,69.73
18.00,-0.77,70.02
19.00,-0.76,70.34
20.00,-0.76,70.32
21.00,-0.75,70.58
22.00,-0.75,70.89
23.00,-0.74,71.10
24.00,-0.74,71.38
25.00,-0.74,71.58
26.00,-0.73,71.87
27.00,-0.73,72.11
28.00,-0.72,72.36
29.00,-0.72,72.62
30.00,-0.71,72.86
31.00,-0.71,73.08
32.00,-0.70,73.33
33.00,-0.70,73.58
34.00,-0.69,73.85
35.00,-0.69,74.09
36.00,-0.68,74.35
37.00,-0.68,74.62
38.00,-0.67,74.89
39.00,-0.67,75.17
40.00,-0.66,75.42
41.00,-0.66,75.70
42.00,-0.65,75.94
43.00,-0.65,76.23
44.00,-0.64,76.48
45.00,-0.63,76.77
46.00,-0.63,77.00
47.00,-0.62,77.22
48.00,-0.62,77.49
49.00,-0.61,77.69
50.00,-0.60,77.97
51.00,-0.60,78.27
52.00,-0.59,78.54
53.00,-0.59,78.80
54.00,-0.58,79.04
55.00,-0.57,79.29
56.00,-0.56,79.56
57.00,-0.56,79.82
58.00,-0.55,80.08
59.00,-0.54,80.36
60.00,-0.53,80.65
61.00,-0.53,80.95
62.00,-0.52,81.23
63.00,-0.51,81.50
64.00,-0.50,81.73
65.00,-0.49,82.04
66.00,-0.49,82.36
67.00,-0.48,82.68
68.00,-0.47,83.02
69.00,-0.46,83.32
70.00,-0.45,83.63
71.00,-0.44,83.99
72.00,-0.43,84.30
73.00,-0.42,84.63
74.00,-0.41,84.98
75.00,-0.40,85.31
76.00,-0.39,85.65
77.00,-0.38,85.99
78.00,-0.37,86.34
79.00,-0.36,86.68
80.00,-0.35,87.07
81.00,-0.34,87.48
82.00,-0.33,87.90
83.00,-0.32,88.30
84.00,-0.31,88.72
85.00,-0.29,89.12
86.00,-0.28,89.55
87.00,-0.27,90.01
88.00,-0.26,90.45
89.00,-0.24,90.93
90.00,-0.23,91.38
91.00,-0.22,91.85
92.00,-0.20,92.37
93.00,-0.19,92.88
94.00,-0.18,93.37
95.00,-0.16,93.91
96.00,-0.15,94.53
97.00,-0.13,95.15
98.00,-0.12,95.76
99.00,-0.10,96.34
100.00,-0.09,96.89
101.00,-0.07,97.44
102.00,-0.06,98.14
103.00,-0.04,98.91
104.00,-0.02,99.67
105.00,-0.01,100.39
106.00,0.01,101.13
107.00,0.03,101.87
108.00,0.04,102.61
109.00,0.06,103.39
110.00,0.08,104.25
111.00,0.10,105.23
112.00,0.12,106.19
113.00,0.13,107.18
114.00,0.15,108.14
115.00,0.17,109.12
116.00,0.19,110.12
117.00,0.21,111.22
118.00,0.23,112.41
119.00,0.25,113.67
120.00,0.27,114.96
121.00,0.29,116.34
122.00,0.32,117.81
123.00,0.34,119.35
124.00,0.36,120.92
125.00,0.38,122.58
126.00,0.40,124.38
127.00,0.43,126.29
128.00,0.45,128.35
129.00,0.48,130.57
130.00,0.50,132.95
131.00,0.53,135.54
132.00,0.55,138.36
133.00,0.58,141.43
134.00,0.60,144.81
135.00,0.63,148.56
136.00,0.66,152.70
137.00,0.69,157.34
138.00,0.72,162.54
139.00,0.75,168.44
140.00,0.78,175.13
141.00,0.81,182.92
142.00,0.84,192.05
143.00,0.88,203.04
144.00,0.91,216.78
145.00,0.95,234.61
146.00,0.98,258.32
147.00,1.01,288.36
148.00,1.01,318.01
149.00,0.99,326.97
150.00,0.97,290.47
151.00,0.94,208.81
152.00,0.90,116.17
153.00,0.86,48.85
154.00,3.00,15.37
155.00,3.00,3.60
156.00,3.00,0.63
157.00,3.00,0.08
158.00,3.00,0.01
159.00,3.00,0.00
160.00,3.00,0.00
161.00,3.00,0.00
162.00,3.00,0.00
163.00,3.00,0.00
164.00,3.00,0.00
165.00,3.00,0.00
166.00,3.00,0.00
167.00,3.00,0.00
168.00,3.00,0.00
169.00,3.00,0.00
170.00,3.00,0.00
171.00,3.00,0.00
172.00,3.00,0.00
173.00,3.00,0.00
174.00,3.00,0.00
175.00,3.00,0.00
