energy, R80,A,B,C
168,154.33,2.971E-06,1.812E-03,-3.759E+00

depth,sigma,idd
0.00,-1.61,67.63
1.00,-1.59,68.22
2.00,-1.58,68.66
3.00,-1.57,69.02
4.00,-1.56,69.37
5.00,-1.54,69.67
6.00,-1.53,69.96
7.00,-1.52,70.25
8.00,-1.51,70.51
9.00,-1.49,70.79
10.00,-1.48,71.03
11.00,-1.47,71.28
12.00,-1.46,71.52
13.00,-1.44,71.75
14.00,-1.43,71.99
15.00,-1.42,72.24
16.00,-1.40,72.49
17.00,-1.39,72.73
18.00,-1.38,72.97
19.00,-1.37,73.22
20.00,-1.35,73.46
21.00,-1.34,73.67
22.00,-1.33,73.88
23.00,-1.32,74.12
24.00,-1.30,74.36
25.00,-1.29,74.55
26.00,-1.28,74.79
27.00,-1.27,75.05
28.00,-1.25,75.26
29.00,-1.24,75.47
30.00,-1.23,75.66
31.00,-1.22,75.86
32.00,-1.21,76.08
33.00,-1.19,76.29
34.00,-1.18,76.53
35.00,-1.17,76.77
36.00,-1.15,76.99
37.00,-1.14,77.21
38.00,-1.13,77.43
39.00,-1.12,77.70
40.00,-1.10,77.94
41.00,-1.09,78.16
42.00,-1.08,78.41
43.00,-1.06,78.65
44.00,-1.05,78.90
45.00,-1.04,79.15
46.00,-1.02,79.42
47.00,-1.01,79.65
48.00,-0.99,79.91
49.00,-0.98,80.20
50.00,-0.97,80.47
51.00,-0.95,80.73
52.00,-0.94,81.00
53.00,-0.92,81.28
54.00,-0.91,81.55
55.00,-0.89,81.83
56.00,-0.88,82.12
57.00,-0.86,82.41
58.00,-0.85,82.69
59.00,-0.84,82.96
60.00,-0.82,83.23
61.00,-0.81,83.50
62.00,-0.79,83.77
63.00,-0.78,84.03
64.00,-0.76,84.31
65.00,-0.74,84.57
66.00,-0.73,84.86
67.00,-0.71,85.16
68.00,-0.70,85.46
69.00,-0.68,85.73
70.00,-0.67,86.04
71.00,-0.65,86.36
72.00,-0.64,86.66
73.00,-0.62,86.98
74.00,-0.61,87.30
75.00,-0.59,87.60
76.00,-0.57,87.94
77.00,-0.56,88.28
78.00,-0.54,88.63
79.00,-0.53,88.96
80.00,-0.51,89.28
81.00,-0.49,89.62
82.00,-0.48,89.99
83.00,-0.46,90.39
84.00,-0.44,90.78
85.00,-0.43,91.18
86.00,-0.41,91.59
87.00,-0.39,92.01
88.00,-0.37,92.45
89.00,-0.36,92.89
90.00,-0.34,93.33
91.00,-0.32,93.77
92.00,-0.30,94.22
93.00,-0.29,94.68
94.00,-0.27,95.16
95.00,-0.25,95.68
