energy, R80,A,B,C
189.8,200.05,2.991E-06,-1.085E-04,-1.153E+00

depth,sigma,idd
0.00,-1.93,66.59
1.00,-1.92,67.20
2.00,-1.91,67.65
3.00,-1.89,68.00
4.00,-1.88,68.32
5.00,-1.87,68.63
6.00,-1.86,68.89
7.00,-1.85,69.15
8.00,-1.84,69.38
9.00,-1.83,69.59
10.00,-1.82,69.80
11.00,-1.81,70.00
12.00,-1.80,70.22
13.00,-1.78,70.44
14.00,-1.77,70.62
15.00,-1.76,70.80
16.00,-1.75,71.01
17.00,-1.74,71.22
18.00,-1.73,71.38
19.00,-1.72,71.56
20.00,-1.71,71.76
21.00,-1.70,71.93
22.00,-1.69,72.10
23.00,-1.68,72.26
24.00,-1.67,72.45
25.00,-1.66,72.65
26.00,-1.65,72.82
27.00,-1.64,73.00
28.00,-1.63,73.15
29.00,-1.61,73.32
30.00,-1.60,73.54
31.00,-1.59,73.72
32.00,-1.58,73.86
33.00,-1.57,74.01
34.00,-1.56,74.20
35.00,-1.55,74.38
36.00,-1.54,74.53
37.00,-1.53,74.71
38.00,-1.52,74.89
39.00,-1.51,75.02
40.00,-1.50,75.17
41.00,-1.49,75.35
42.00,-1.48,75.52
43.00,-1.46,75.67
44.00,-1.45,75.80
45.00,-1.44,75.98
46.00,-1.43,76.15
47.00,-1.42,76.31
48.00,-1.41,76.49
49.00,-1.40,76.64
50.00,-1.39,76.83
51.00,-1.37,76.99
52.00,-1.36,77.14
53.00,-1.35,77.30
54.00,-1.34,77.45
55.00,-1.33,77.60
56.00,-1.32,77.77
57.00,-1.31,77.95
58.00,-1.29,78.13
59.00,-1.28,78.29
60.00,-1.27,78.47
61.00,-1.26,78.64
62.00,-1.24,78.81
63.00,-1.23,79.02
64.00,-1.22,79.21
65.00,-1.21,79.41
66.00,-1.19,79.59
67.00,-1.18,79.80
68.00,-1.17,79.99
69.00,-1.16,80.17
70.00,-1.14,80.38
71.00,-1.13,80.56
72.00,-1.12,80.76
73.00,-1.10,80.95
74.00,-1.09,81.13
75.00,-1.08,81.32
76.00,-1.06,81.49
77.00,-1.05,81.67
78.00,-1.04,81.85
79.00,-1.02,82.03
80.00,-1.01,82.21
81.00,-0.99,82.40
82.00,-0.98,82.59
83.00,-0.97,82.75
84.00,-0.95,82.91
85.00,-0.94,83.11
86.00,-0.92,83.32
87.00,-0.91,83.54
88.00,-0.89,83.72
89.00,-0.88,83.93
90.00,-0.87,84.12
91.00,-0.85,84.32
92.00,-0.84,84.51
93.00,-0.82,84.71
94.00,-0.81,84.91
95.00,-0.79,85.11
96.00,-0.78,85.33
97.00,-0.76,85.53
98.00,-0.75,85.75
99.00,-0.73,85.98
100.00,-0.72,86.19
101.00,-0.70,86.40
102.00,-0.68,86.63
103.00,-0.67,86.86
104.00,-0.65,87.07
105.00,-0.64,87.30
106.00,-0.62,87.55
107.00,-0.60,87.80
108.00,-0.59,88.04
109.00,-0.57,88.30
110.00,-0.55,88.54
111.00,-0.54,88.79
112.00,-0.52,89.04
113.00,-0.50,89.28
114.00,-0.49,89.55
115.00,-0.47,89.81
116.00,-0.45,90.09
117.00,-0.44,90.38
118.00,-0.42,90.67
119.00,-0.40,90.97
120.00,-0.38,91.25
121.00,-0.36,91.55
122.00,-0.35,91.85
123.00,-0.33,92.19
124.00,-0.31,92.51
125.00,-0.29,92.82
126.00,-0.27,93.14
127.00,-0.25,93.51
128.00,-0.24,93.86
129.00,-0.22,94.21
130.00,-0.20,94.60
131.00,-0.18,94.98
132.00,-0.16,95.39
133.00,-0.14,95.78
134.00,-0.12,96.18
135.00,-0.10,96.60
136.00,-0.08,97.06
137.00,-0.06,97.52
138.00,-0.04,97.98
139.00,-0.02,98.46
140.00,-0.00,98.97
141.00,0.02,99.49
142.00,0.04,100.00
143.00,0.06,100.52
144.00,0.08,101.03
145.00,0.10,101.54
146.00,0.12,102.05
147.00,0.15,102.58
148.00,0.17,103.16
149.00,0.19,103.77
150.00,0.21,104.42
151.00,0.23,105.09
152.00,0.26,105.76
153.00,0.28,106.46
154.00,0.30,107.17
155.00,0.32,107.88
156.00,0.35,108.63
157.00,0.37,109.40
158.00,0.39,110.21
159.00,0.42,111.02
160.00,0.44,111.89
161.00,0.46,112.80
162.00,0.49,113.74
163.00,0.51,114.74
164.00,0.54,115.80
165.00,0.56,116.93
166.00,0.59,118.07
167.00,0.61,119.26
168.00,0.64,120.51
169.00,0.66,121.83
170.00,0.69,123.20
171.00,0.71,124.67
172.00,0.74,126.24
173.00,0.77,127.88
174.00,0.80,129.61
175.00,0.82,131.46
176.00,0.85,133.46
177.00,0.88,135.60
178.00,0.91,137.87
179.00,0.93,140.33
180.00,0.96,142.97
181.00,0.99,145.80
182.00,1.02,148.89
183.00,1.05,152.30
184.00,1.09,156.07
185.00,1.12,160.27
186.00,1.15,165.00
187.00,1.18,170.32
188.00,1.22,176.37
189.00,1.25,183.32
190.00,1.29,191.36
191.00,1.33,200.86
192.00,1.37,212.25
193.00,1.41,226.08
194.00,1.43,242.62
195.00,1.45,261.11
196.00,1.46,278.80
197.00,1.44,290.46
198.00,1.42,289.45
199.00,1.38,270.38
200.00,1.35,232.74
201.00,1.31,182.26
202.00,1.27,128.59
203.00,1.23,81.19
204.00,1.20,45.68
205.00,3.00,22.85
206.00,3.00,10.15
207.00,3.00,4.00
208.00,3.00,1.39
209.00,3.00,0.43
210.00,3.00,0.12
211.00,3.00,0.03
212.00,3.00,0.01
213.00,3.00,0.00
214.00,3.00,0.00
215.00,3.00,0.00
216.00,3.00,0.00
217.00,3.00,0.00
218.00,3.00,0.00
219.00,3.00,0.00
220.00,3.00,0.00
221.00,3.00,0.00
222.00,3.00,0.00
223.00,3.00,0.00
224.00,3.00,0.00
225.00,3.00,0.00
226.00,3.00,0.00
227.00,3.00,0.00
228.00,3.00,0.00
229.00,3.00,0.00
230.00,3.00,0.00
231.00,3.00,0.00
232.00,3.00,0.00
233.00,3.00,0.00
234.00,3.00,0.00
235.00,3.00,0.00
236.00,3.00,0.00
237.00,3.00,0.00
238.00,3.00,0.00
239.00,3.00,0.00
240.00,3.00,0.00
241.00,3.00,0.00
242.00,3.00,0.00
243.00,3.00,0.00
244.00,3.00,0.00
245.00,3.00,0.00
246.00,3.00,0.00
247.00,3.00,0.00
248.00,3.00,0.00
249.00,3.00,0.00
250.00,3.00,0.00
251.00,3.00,0.00
252.00,3.00,0.00
253.00,3.00,0.00
254.00,3.00,0.00
255.00,3.00,0.00
256.00,3.00,0.00
257.00,3.00,0.00
258.00,3.00,0.00
259.00,3.00,0.00
260.00,3.00,0.00
261.00,3.00,0.00
262.00,3.00,0.00
263.00,3.00,0.00
264.00,3.00,0.00
265.00,3.00,0.00
266.00,3.00,0.00
267.00,3.00,0.00
268.00,3.00,0.00
269.00,3.00,0.00
270.00,3.00,0.00
271.00,3.00,0.00
272.00,3.00,0.00
273.00,3.00,0.00
274.00,3.00,0.00
275.00,3.00,0.00
276.00,3.00,0.00
277.00,3.00,0.00
278.00,3.00,0.00
279.00,3.00,0.00
280.00,3.00,0.00
281.00,3.00,0.00
282.00,3.00,0.00
283.00,3.00,0.00
284.00,3.00,0.00
285.00,3.00,0.00
286.00,3.00,0.00
287.00,3.00,0.00
288.00,3.00,0.00
289.00,3.00,0.00
290.00,3.00,0.00
291.00,3.00,0.00
292.00,3.00,0.00
293.00,3.00,0.00
294.00,3.00,0.00
295.00,3.00,0.00
296.00,3.00,0.00
297.00,3.00,0.00
298.00,3.00,0.00
299.00,3.00,0.00
300.00,3.00,0.00
301.00,3.00,0.00
302.00,3.00,0.00
303.00,3.00,0.00
304.00,3.00,0.00
305.00,3.00,0.00
306.00,3.00,0.00
307.00,3.00,0.00
308.00,3.00,0.00
309.00,3.00,0.00
310.00,3.00,0.00
311.00,3.00,0.00
312.00,3.00,0.00
313.00,3.00,0.00
314.00,3.00,0.00
315.00,3.00,0.00
316.00,3.00,0.00
317.00,3.00,0.00
318.00,3.00,0.00
319.00,3.00,0.00
320.00,3.00,0.00
321.00,3.00,0.00
322.00,3.00,0.00
323.00,3.00,0.00
324.00,3.00,0.00
325.00,3.00,0.00
326.00,3.00,0.00
327.00,3.00,0.00
328.00,3.00,0.00
329.00,3.00,0.00
330.00,3.00,0.00
331.00,3.00,0.00
332.00,3.00,0.00
333.00,3.00,0.00
334.00,3.00,0.00
335.00,3.00,0.00
336.00,3.00,0.00
337.00,3.00,0.00
338.00,3.00,0.00
339.00,3.00,0.00
340.00,3.00,0.00
341.00,3.00,0.00
342.00,3.00,0.00
343.00,3.00,0.00
344.00,3.00,0.00
345.00,3.00,0.00
346.00,3.00,0.00
347.00,3.00,0.00
348.00,3.00,0.00
349.00,3.00,0.00
350.00,3.00,0.00
351.00,3.00,0.00
352.00,3.00,0.00
353.00,3.00,0.00
354.00,3.00,0.00
355.00,3.00,0.00
356.00,3.00,0.00
357.00,3.00,0.00
358.00,3.00,0.00
359.00,3.00,0.00
360.00,3.00,0.00
361.00,3.00,0.00
362.00,3.00,0.00
363.00,3.00,0.00
364.00,3.00,0.00
365.00,3.00,0.00
366.00,3.00,0.00
367.00,3.00,0.00
368.00,3.00,0.00
369.00,3.00,0.00
370.00,3.00,0.00
371.00,3.00,0.00
372.00,3.00,0.00
373.00,3.00,0.00
374.00,3.00,0.00
375.00,3.00,0.00
376.00,3.00,0.00
377.00,3.00,0.00
378.00,3.00,0.00
379.00,3.00,0.00
380.00,3.00,0.00
381.00,3.00,0.00
382.00,3.00,0.00
383.00,3.00,0.00
384.00,3.00,0.00
385.00,3.00,0.00
386.00,3.00,0.00
387.00,3.00,0.00
388.00,3.00,0.00
389.00,3.00,0.00
390.00,3.00,0.00
391.00,3.00,0.00
392.00,3.00,0.00
393.00,3.00,0.00
394.00,3.00,0.00
395.00,3.00,0.00
396.00,3.00,0.00
397.00,3.00,0.00
398.00,3.00,0.00
399.00,3.00,0.00
400.00,3.00,0.00
