energy, R80,A,B,C
194.9,211.35,3.016E-06,-5.842E-04,-5.181E-01

depth,sigma,idd
0.00,-2.00,66.50
1.00,-1.99,67.14
2.00,-1.98,67.60
3.00,-1.97,67.93
4.00,-1.96,68.23
5.00,-1.95,68.51
6.00,-1.94,68.75
7.00,-1.93,68.99
8.00,-1.92,69.20
9.00,-1.91,69.40
10.00,-1.90,69.61
11.00,-1.89,69.81
12.00,-1.87,70.00
13.00,-1.86,70.17
14.00,-1.85,70.35
15.00,-1.84,70.55
16.00,-1.83,70.74
17.00,-1.82,70.90
18.00,-1.81,71.07
19.00,-1.80,71.24
20.00,-1.79,71.42
21.00,-1.78,71.58
22.00,-1.77,71.76
23.00,-1.76,71.94
24.00,-1.75,72.09
25.00,-1.74,72.24
26.00,-1.73,72.42
27.00,-1.72,72.59
28.00,-1.71,72.71
29.00,-1.70,72.87
30.00,-1.69,73.02
31.00,-1.68,73.20
32.00,-1.67,73.34
33.00,-1.66,73.49
34.00,-1.65,73.61
35.00,-1.64,73.74
36.00,-1.63,73.93
37.00,-1.62,74.13
38.00,-1.61,74.28
39.00,-1.60,74.40
40.00,-1.59,74.55
41.00,-1.58,74.69
42.00,-1.57,74.84
43.00,-1.56,74.99
44.00,-1.55,75.13
45.00,-1.54,75.30
46.00,-1.53,75.46
47.00,-1.52,75.62
48.00,-1.51,75.75
49.00,-1.50,75.87
50.00,-1.48,76.01
51.00,-1.47,76.17
52.00,-1.46,76.32
53.00,-1.45,76.48
54.00,-1.44,76.63
55.00,-1.43,76.79
56.00,-1.42,76.94
57.00,-1.41,77.11
58.00,-1.40,77.28
59.00,-1.38,77.43
60.00,-1.37,77.59
61.00,-1.36,77.73
62.00,-1.35,77.88
63.00,-1.34,78.00
64.00,-1.33,78.13
65.00,-1.31,78.29
66.00,-1.30,78.47
67.00,-1.29,78.67
68.00,-1.28,78.82
69.00,-1.27,78.98
70.00,-1.25,79.17
71.00,-1.24,79.33
72.00,-1.23,79.51
73.00,-1.22,79.69
74.00,-1.20,79.87
75.00,-1.19,80.04
76.00,-1.18,80.21
77.00,-1.17,80.39
78.00,-1.15,80.55
79.00,-1.14,80.74
80.00,-1.13,80.91
81.00,-1.11,81.09
82.00,-1.10,81.26
83.00,-1.08,81.44
84.00,-1.07,81.61
85.00,-1.06,81.78
86.00,-1.04,81.96
87.00,-1.03,82.12
88.00,-1.02,82.27
89.00,-1.00,82.44
90.00,-0.99,82.62
91.00,-0.97,82.80
92.00,-0.96,82.99
93.00,-0.94,83.17
94.00,-0.93,83.33
95.00,-0.92,83.52
96.00,-0.90,83.69
97.00,-0.89,83.88
98.00,-0.87,84.08
99.00,-0.86,84.26
100.00,-0.84,84.45
101.00,-0.83,84.64
102.00,-0.81,84.83
103.00,-0.80,85.00
104.00,-0.78,85.20
105.00,-0.76,85.41
106.00,-0.75,85.60
107.00,-0.73,85.79
108.00,-0.72,85.97
109.00,-0.70,86.16
110.00,-0.69,86.38
111.00,-0.67,86.61
112.00,-0.65,86.82
113.00,-0.64,87.04
114.00,-0.62,87.26
115.00,-0.60,87.49
116.00,-0.59,87.74
117.00,-0.57,87.97
118.00,-0.55,88.22
119.00,-0.54,88.46
120.00,-0.52,88.70
121.00,-0.50,88.94
122.00,-0.49,89.20
123.00,-0.47,89.44
124.00,-0.45,89.69
125.00,-0.43,89.93
126.00,-0.42,90.18
127.00,-0.40,90.46
128.00,-0.38,90.75
129.00,-0.36,91.04
130.00,-0.34,91.33
131.00,-0.33,91.64
132.00,-0.31,91.94
133.00,-0.29,92.24
134.00,-0.27,92.56
135.00,-0.25,92.87
136.00,-0.23,93.17
137.00,-0.22,93.49
138.00,-0.20,93.83
139.00,-0.18,94.16
140.00,-0.16,94.50
141.00,-0.14,94.86
142.00,-0.12,95.24
143.00,-0.10,95.62
144.00,-0.08,96.01
145.00,-0.06,96.42
146.00,-0.04,96.84
147.00,-0.02,97.25
