energy, R80,A,B,C
200.3,223.85,3.064E-06,-1.127E-03,1.699E-01

depth,sigma,idd
0.00,-2.09,66.23
1.00,-2.08,66.87
2.00,-2.07,67.31
3.00,-2.06,67.68
4.00,-2.05,68.00
5.00,-2.04,68.27
6.00,-2.03,68.52
7.00,-2.02,68.76
8.00,-2.01,68.97
9.00,-2.00,69.18
10.00,-1.99,69.40
11.00,-1.98,69.60
12.00,-1.97,69.79
13.00,-1.96,69.95
14.00,-1.95,70.14
15.00,-1.94,70.33
16.00,-1.93,70.48
17.00,-1.92,70.66
18.00,-1.91,70.85
19.00,-1.90,71.04
20.00,-1.89,71.22
21.00,-1.88,71.40
22.00,-1.87,71.57
23.00,-1.86,71.74
24.00,-1.85,71.93
25.00,-1.84,72.08
26.00,-1.83,72.22
27.00,-1.82,72.38
28.00,-1.81,72.50
29.00,-1.80,72.64
30.00,-1.79,72.77
31.00,-1.78,72.91
32.00,-1.77,73.06
33.00,-1.76,73.20
34.00,-1.75,73.35
35.00,-1.75,73.49
36.00,-1.74,73.59
37.00,-1.73,73.72
38.00,-1.72,73.86
39.00,-1.71,74.03
40.00,-1.70,74.21
41.00,-1.69,74.38
42.00,-1.67,74.48
43.00,-1.67,74.61
44.00,-1.66,74.77
45.00,-1.64,74.92
46.00,-1.63,75.07
47.00,-1.62,75.20
48.00,-1.61,75.33
49.00,-1.60,75.46
50.00,-1.59,75.60
51.00,-1.58,75.76
52.00,-1.57,75.88
53.00,-1.56,76.02
54.00,-1.55,76.16
55.00,-1.54,76.30
56.00,-1.53,76.44
57.00,-1.52,76.56
58.00,-1.51,76.69
59.00,-1.50,76.86
60.00,-1.49,77.00
61.00,-1.48,77.15
62.00,-1.46,77.26
63.00,-1.45,77.40
64.00,-1.44,77.57
65.00,-1.43,77.72
66.00,-1.42,77.87
67.00,-1.41,77.98
68.00,-1.40,78.08
69.00,-1.38,78.24
70.00,-1.37,78.40
71.00,-1.36,78.55
72.00,-1.35,78.68
73.00,-1.34,78.81
74.00,-1.33,78.95
75.00,-1.31,79.11
76.00,-1.30,79.27
77.00,-1.29,79.46
78.00,-1.28,79.61
79.00,-1.27,79.78
80.00,-1.25,79.95
81.00,-1.24,80.11
82.00,-1.23,80.27
83.00,-1.21,80.43
84.00,-1.20,80.59
85.00,-1.19,80.75
86.00,-1.18,80.91
87.00,-1.16,81.09
88.00,-1.15,81.24
89.00,-1.13,81.39
90.00,-1.12,81.52
91.00,-1.11,81.68
92.00,-1.09,81.85
93.00,-1.08,82.00
94.00,-1.07,82.15
95.00,-1.05,82.33
96.00,-1.04,82.51
97.00,-1.02,82.68
98.00,-1.01,82.85
99.00,-1.00,83.01
100.00,-0.98,83.16
101.00,-0.97,83.31
102.00,-0.95,83.48
103.00,-0.94,83.62
104.00,-0.92,83.77
