energy, R80,A,B,C
208.3,242.35,3.109E-06,-1.827E-03,1.102E+00

depth,sigma,idd
0.00,-2.23,65.97
1.00,-2.22,66.62
2.00,-2.21,67.06
3.00,-2.20,67.40
4.00,-2.19,67.70
5.00,-2.18,67.99
6.00,-2.17,68.26
7.00,-2.16,68.51
8.00,-2.15,68.73
9.00,-2.14,68.91
10.00,-2.13,69.12
11.00,-2.12,69.33
12.00,-2.11,69.52
13.00,-2.10,69.70
14.00,-2.09,69.84
15.00,-2.08,70.00
16.00,-2.07,70.15
17.00,-2.06,70.28
18.00,-2.05,70.46
19.00,-2.05,70.61
20.00,-2.04,70.77
21.00,-2.03,70.89
22.00,-2.02,71.04
23.00,-2.01,71.19
24.00,-2.00,71.33
25.00,-1.99,71.48
26.00,-1.98,71.61
27.00,-1.97,71.74
28.00,-1.97,71.89
29.00,-1.96,72.02
30.00,-1.95,72.16
31.00,-1.94,72.30
32.00,-1.93,72.44
33.00,-1.92,72.59
34.00,-1.91,72.72
35.00,-1.90,72.85
36.00,-1.89,72.98
37.00,-1.88,73.11
38.00,-1.87,73.25
39.00,-1.86,73.36
40.00,-1.85,73.47
41.00,-1.84,73.61
42.00,-1.83,73.76
43.00,-1.82,73.88
44.00,-1.81,74.01
45.00,-1.81,74.15
46.00,-1.80,74.28
47.00,-1.79,74.40
48.00,-1.78,74.50
49.00,-1.77,74.63
50.00,-1.76,74.77
51.00,-1.75,74.91
52.00,-1.74,75.04
53.00,-1.73,75.17
54.00,-1.72,75.31
55.00,-1.71,75.44
56.00,-1.70,75.56
57.00,-1.69,75.68
58.00,-1.68,75.80
59.00,-1.67,75.92
60.00,-1.66,76.02
61.00,-1.65,76.14
62.00,-1.64,76.26
63.00,-1.63,76.40
64.00,-1.61,76.50
65.00,-1.60,76.59
66.00,-1.59,76.71
67.00,-1.58,76.82
68.00,-1.57,76.93
69.00,-1.56,77.04
70.00,-1.55,77.18
71.00,-1.54,77.30
72.00,-1.53,77.39
73.00,-1.52,77.46
74.00,-1.51,77.57
75.00,-1.50,77.69
76.00,-1.48,77.82
77.00,-1.47,77.93
78.00,-1.46,78.04
79.00,-1.45,78.18
80.00,-1.44,78.33
81.00,-1.43,78.48
82.00,-1.41,78.61
83.00,-1.40,78.76
84.00,-1.39,78.91
85.00,-1.38,79.06
