energy, R80,A,B,C
156.6,170.35,1.381E-06,-1.998E-03,3.502E+00

depth,sigma,idd
0.00,-0.95,63.99
1.00,-0.95,64.77
2.00,-0.94,65.32
3.00,-0.94,65.71
4.00,-0.93,66.06
5.00,-0.93,66.39
6.00,-0.93,66.64
7.00,-0.92,66.93
8.00,-0.92,67.23
9.00,-0.91,67.49
10.00,-0.91,67.77
11.00,-0.91,67.98
12.00,-0.90,68.21
13.00,-0.90,68.50
14.00,-0.90,68.72
15.00,-0.89,68.93
16.00,-0.89,69.17
17.00,-0.88,69.41
18.00,-0.88,69.65
19.00,-0.88,69.87
20.00,-0.87,70.10
21.00,-0.87,70.33
22.00,-0.87,70.56
23.00,-0.86,70.79
24.00,-0.86,70.97
25.00,-0.85,71.20
26.00,-0.85,71.43
27.00,-0.85,71.66
28.00,-0.84,71.90
29.00,-0.84,72.04
30.00,-0.84,72.31
31.00,-0.83,72.52
32.00,-0.83,72.75
33.00,-0.82,72.96
34.00,-0.82,73.16
35.00,-0.82,73.38
36.00,-0.81,73.61
37.00,-0.81,73.81
38.00,-0.80,74.03
39.00,-0.80,74.20
40.00,-0.79,74.42
41.00,-0.79,74.65
42.00,-0.78,74.86
43.00,-0.78,75.06
44.00,-0.77,75.30
45.00,-0.77,75.56
46.00,-0.77,75.71
47.00,-0.76,75.89
48.00,-0.75,76.11
49.00,-0.75,76.32
50.00,-0.74,76.50
51.00,-0.74,76.71
52.00,-0.73,76.91
53.00,-0.73,77.10
54.00,-0.72,77.31
55.00,-0.71,77.57
56.00,-0.71,77.79
57.00,-0.70,77.94
58.00,-0.70,78.17
59.00,-0.69,78.41
60.00,-0.68,78.59
61.00,-0.68,78.77
62.00,-0.67,79.04
63.00,-0.66,79.31
64.00,-0.65,79.57
65.00,-0.65,79.81
66.00,-0.64,80.04
67.00,-0.63,80.28
68.00,-0.63,80.52
69.00,-0.62,80.75
70.00,-0.61,81.00
71.00,-0.60,81.28
72.00,-0.59,81.52
73.00,-0.58,81.75
74.00,-0.58,82.08
75.00,-0.57,82.32
76.00,-0.56,82.59
77.00,-0.55,82.87
78.00,-0.54,83.12
79.00,-0.53,83.36
80.00,-0.52,83.61
81.00,-0.51,83.89
82.00,-0.50,84.17
83.00,-0.49,84.43
84.00,-0.48,84.70
85.00,-0.47,84.99
86.00,-0.46,85.28
87.00,-0.45,85.59
88.00,-0.44,85.89
89.00,-0.43,86.14
90.00,-0.42,86.47
91.00,-0.41,86.80
92.00,-0.40,87.12
93.00,-0.38,87.44
94.00,-0.37,87.79
95.00,-0.36,88.10
96.00,-0.35,88.44
97.00,-0.34,88.79
98.00,-0.32,89.13
99.00,-0.31,89.50
100.00,-0.30,89.88
101.00,-0.28,90.28
102.00,-0.27,90.67
103.00,-0.26,91.05
104.00,-0.24,91.47
105.00,-0.23,91.90
106.00,-0.21,92.34
107.00,-0.20,92.79
108.00,-0.18,93.22
109.00,-0.17,93.68
110.00,-0.15,94.16
111.00,-0.14,94.62
112.00,-0.12,95.14
113.00,-0.11,95.65
114.00,-0.09,96.21
115.00,-0.07,96.78
116.00,-0.06,97.38
117.00,-0.04,97.98
118.00,-0.02,98.54
119.00,-0.00,99.08
120.00,0.01,99.65
121.00,0.03,100.27
122.00,0.05,100.97
123.00,0.07,101.72
124.00,0.09,102.49
125.00,0.11,103.23
126.00,0.13,104.03
127.00,0.15,104.77
128.00,0.17,105.49
129.00,0.19,106.28
130.00,0.21,107.13
131.00,0.23,108.05
132.00,0.25,108.99
133.00,0.27,109.93
134.00,0.29,110.94
135.00,0.31,111.94
