energy, R80,A,B,C
203,268.42,1.476E-06,-3.507E-03,6.116E+00

depth,sigma,idd
0.00,-1.64,64.05
1.00,-1.64,64.93
2.00,-1.63,65.50
3.00,-1.63,65.92
4.00,-1.63,66.24
5.00,-1.62,66.54
6.00,-1.62,66.77
7.00,-1.62,67.00
8.00,-1.62,67.22
9.00,-1.61,67.44
10.00,-1.61,67.66
11.00,-1.61,67.86
12.00,-1.61,68.05
13.00,-1.61,68.23
14.00,-1.60,68.39
15.00,-1.60,68.55
16.00,-1.60,68.75
17.00,-1.60,68.91
18.00,-1.60,69.06
19.00,-1.59,69.23
20.00,-1.59,69.38
21.00,-1.59,69.55
22.00,-1.59,69.72
23.00,-1.59,69.88
24.00,-1.58,70.03
25.00,-1.58,70.18
26.00,-1.58,70.32
27.00,-1.58,70.47
28.00,-1.57,70.62
29.00,-1.57,70.79
30.00,-1.57,70.90
31.00,-1.57,71.05
32.00,-1.57,71.24
33.00,-1.56,71.41
34.00,-1.56,71.57
35.00,-1.56,71.73
36.00,-1.55,71.91
37.00,-1.55,72.07
38.00,-1.55,72.21
39.00,-1.55,72.31
40.00,-1.54,72.45
41.00,-1.54,72.58
42.00,-1.54,72.70
43.00,-1.54,72.85
44.00,-1.53,72.98
45.00,-1.53,73.06
46.00,-1.53,73.21
47.00,-1.52,73.37
48.00,-1.52,73.48
49.00,-1.52,73.57
50.00,-1.51,73.67
51.00,-1.51,73.81
52.00,-1.51,73.91
53.00,-1.50,74.02
54.00,-1.50,74.11
55.00,-1.50,74.23
56.00,-1.49,74.36
57.00,-1.49,74.51
58.00,-1.49,74.62
59.00,-1.48,74.77
60.00,-1.48,74.88
61.00,-1.48,74.97
62.00,-1.47,75.09
63.00,-1.47,75.21
64.00,-1.46,75.35
65.00,-1.46,75.44
66.00,-1.45,75.54
67.00,-1.45,75.63
68.00,-1.44,75.78
69.00,-1.44,75.88
70.00,-1.44,75.93
71.00,-1.43,76.08
72.00,-1.42,76.18
73.00,-1.42,76.29
74.00,-1.42,76.40
75.00,-1.41,76.52
76.00,-1.41,76.63
77.00,-1.40,76.76
78.00,-1.39,76.86
79.00,-1.39,76.89
80.00,-1.38,77.00
81.00,-1.38,77.12
82.00,-1.37,77.17
83.00,-1.37,77.35
84.00,-1.36,77.44
85.00,-1.35,77.56
86.00,-1.35,77.66
